generation             	fitness                
       1.0000000000e+00	       1.0361055037e-02
       2.0000000000e+00	       1.2239818428e-02
       3.0000000000e+00	       1.2766219753e-02
       4.0000000000e+00	       1.5646477317e-02
       5.0000000000e+00	       1.6768863166e-02
       6.0000000000e+00	       1.8009814109e-02
       7.0000000000e+00	       2.1301298863e-02
       8.0000000000e+00	       2.3911205638e-02
       9.0000000000e+00	       2.6009691639e-02
       1.0000000000e+01	       2.6283477606e-02
       1.1000000000e+01	       2.9150019190e-02
       1.2000000000e+01	       3.1703215495e-02
       1.3000000000e+01	       3.2072949461e-02
       1.4000000000e+01	       3.2072949461e-02
       1.5000000000e+01	       3.2660046680e-02
       1.6000000000e+01	       3.3892819222e-02
       1.7000000000e+01	       3.3892819222e-02
       1.8000000000e+01	       3.3892819222e-02
       1.9000000000e+01	       3.3955485608e-02
       2.0000000000e+01	       3.5248973600e-02
       2.1000000000e+01	       3.5966243714e-02
       2.2000000000e+01	       3.6264879488e-02
       2.3000000000e+01	       3.6283533776e-02
       2.4000000000e+01	       3.6671534083e-02
       2.5000000000e+01	       3.7915450569e-02
       2.6000000000e+01	       3.7915450569e-02
       2.7000000000e+01	       3.8409871841e-02
       2.8000000000e+01	       3.8434747119e-02
       2.9000000000e+01	       3.8722767218e-02
       3.0000000000e+01	       3.9073943674e-02
       3.1000000000e+01	       3.9566300073e-02
       3.2000000000e+01	       3.9566300073e-02
       3.3000000000e+01	       4.0398475047e-02
       3.4000000000e+01	       4.0398475047e-02
       3.5000000000e+01	       4.0398475047e-02
       3.6000000000e+01	       4.0398475047e-02
       3.7000000000e+01	       4.0398475047e-02
       3.8000000000e+01	       4.0398475047e-02
       3.9000000000e+01	       4.0398475047e-02
       4.0000000000e+01	       4.0398475047e-02
       4.1000000000e+01	       4.0398475047e-02
       4.2000000000e+01	       4.0398475047e-02
       4.3000000000e+01	       4.0398475047e-02
       4.4000000000e+01	       4.0398475047e-02
       4.5000000000e+01	       4.0398475047e-02
       4.6000000000e+01	       4.0978976602e-02
       4.7000000000e+01	       4.0978976602e-02
       4.8000000000e+01	       4.0978976602e-02
       4.9000000000e+01	       4.0978976602e-02
       5.0000000000e+01	       4.1760208928e-02
       5.1000000000e+01	       4.1760208928e-02
       5.2000000000e+01	       4.2134946404e-02
       5.3000000000e+01	       4.2134946404e-02
       5.4000000000e+01	       4.2356972041e-02
       5.5000000000e+01	       4.2356972041e-02
       5.6000000000e+01	       4.2356972041e-02
       5.7000000000e+01	       4.2356972041e-02
       5.8000000000e+01	       4.2356972041e-02
       5.9000000000e+01	       4.2520357008e-02
       6.0000000000e+01	       4.2520357008e-02
       6.1000000000e+01	       4.2839219029e-02
       6.2000000000e+01	       4.2839219029e-02
       6.3000000000e+01	       4.3273378093e-02
       6.4000000000e+01	       4.3275766137e-02
       6.5000000000e+01	       4.3275766137e-02
       6.6000000000e+01	       4.3462289044e-02
       6.7000000000e+01	       4.3462289044e-02
       6.8000000000e+01	       4.3462289044e-02
       6.9000000000e+01	       4.3516902476e-02
       7.0000000000e+01	       4.3622831678e-02
       7.1000000000e+01	       4.3860005980e-02
       7.2000000000e+01	       4.3860005980e-02
       7.3000000000e+01	       4.3860005980e-02
       7.4000000000e+01	       4.4933554501e-02
       7.5000000000e+01	       4.4933554501e-02
       7.6000000000e+01	       4.4959589803e-02
       7.7000000000e+01	       4.4959589803e-02
       7.8000000000e+01	       4.4959589803e-02
       7.9000000000e+01	       4.4959589803e-02
       8.0000000000e+01	       4.4959589803e-02
       8.1000000000e+01	       4.4959589803e-02
       8.2000000000e+01	       4.4959589803e-02
       8.3000000000e+01	       4.4959589803e-02
       8.4000000000e+01	       4.4959589803e-02
       8.5000000000e+01	       4.4959589803e-02
       8.6000000000e+01	       4.4959589803e-02
       8.7000000000e+01	       4.4959589803e-02
       8.8000000000e+01	       4.4959589803e-02
       8.9000000000e+01	       4.4959589803e-02
       9.0000000000e+01	       4.4959589803e-02
       9.1000000000e+01	       4.4959589803e-02
       9.2000000000e+01	       4.5160791937e-02
       9.3000000000e+01	       4.5160791937e-02
       9.4000000000e+01	       4.5160791937e-02
       9.5000000000e+01	       4.5160791937e-02
       9.6000000000e+01	       4.5160791937e-02
       9.7000000000e+01	       4.5160791937e-02
       9.8000000000e+01	       4.5160791937e-02
       9.9000000000e+01	       4.5160791937e-02
       1.0000000000e+02	       4.5160791937e-02
